SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,1,2,0,6,466,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,1,3,22,84,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,3,6,16,306,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,4,1,15,477,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,4,3,7,496,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,3,2,9,95,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,4,3,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,4,13,408,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,5,13,268,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,7,186,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,5,0,32,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,2,6,0,295,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,2,0,8,287,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,1,2,318,0,0,0,1,0,1,0,0,0,1,0,0,0
2,1,4,2,10,186,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,0,3,310,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,1,2,1,95,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,5,22,14,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,5,3,9,90,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,2,4,8,388,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,5,15,458,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,4,1,18,467,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,1,17,72,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,5,20,452,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,4,2,9,325,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,4,9,349,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,5,15,438,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,3,3,12,362,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,16,159,1,0,0,0,0,0,0,1,0,0,0,1,0
1,1,4,3,12,280,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,2,0,18,6,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,4,2,439,0,1,0,0,0,1,0,0,0,0,0,1,1
1,1,3,2,8,47,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,3,4,7,212,0,1,0,0,0,0,1,0,0,0,0,0,1
2,1,4,1,14,56,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,4,5,19,239,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,4,2,7,23,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,1,8,136,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,2,0,20,361,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,2,13,48,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,4,0,10,426,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,9,377,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,4,10,354,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,16,330,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,2,0,307,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,1,4,12,465,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,3,19,128,0,1,0,0,0,1,0,0,0,0,0,0,0
2,1,1,4,9,371,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,2,2,15,274,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,3,3,15,487,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2,6,20,355,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,2,4,14,57,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,3,18,300,0,0,1,0,0,1,0,0,0,0,0,1,1
