SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,6,22,5,19,105,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10,40,6,20,458,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,29,2,11,216,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,26,2,16,428,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,1,23,203,0,0,1,0,0,1,0,0,0,0,0,1,0
1,3,9,3,21,142,0,0,0,0,0,1,0,0,0,0,0,0,0
2,6,25,4,10,477,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12,52,2,7,336,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,2,12,486,0,1,0,0,0,0,0,0,0,0,0,1,1
1,6,24,0,7,125,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,18,1,20,266,0,0,0,0,0,1,0,0,0,0,0,0,1
1,4,16,6,21,111,0,0,1,0,0,1,0,0,0,0,0,1,0
2,8,32,0,11,475,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,24,2,13,394,0,0,0,0,1,0,0,0,0,0,1,0,1
2,7,28,5,0,310,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,2,13,486,0,0,1,0,0,0,0,0,0,0,0,1,0
1,4,15,0,17,466,0,0,0,0,1,0,0,0,1,0,1,0,0
1,5,21,1,16,128,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,9,0,9,476,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,23,3,6,170,0,0,1,0,0,0,0,0,0,0,0,1,0
1,4,14,6,15,63,0,1,0,0,0,0,0,0,0,0,0,0,0
2,5,22,3,9,48,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,20,6,16,264,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,17,4,21,300,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,29,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,6,20,449,0,1,0,0,0,1,0,0,0,0,0,0,1
2,8,31,4,11,187,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,20,2,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,23,0,15,120,0,0,0,0,1,0,0,0,1,0,1,0,0
1,7,28,3,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,19,2,15,444,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,6,0,18,420,0,0,1,0,0,1,0,0,0,0,0,1,0
1,2,6,1,22,52,0,1,0,0,0,1,0,0,0,0,0,0,0
2,3,11,3,16,131,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,28,4,9,284,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10,41,2,17,496,0,0,0,0,0,0,0,1,0,0,0,0,0
1,10,43,2,19,57,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,5,1,23,280,0,0,0,0,0,1,0,0,0,0,0,0,0
1,9,39,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,26,2,10,192,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,30,5,0,302,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,9,2,15,57,0,0,1,0,0,0,0,0,0,0,0,1,1
1,7,27,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,20,3,6,240,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12,52,3,8,420,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,38,1,21,196,0,0,1,0,0,1,0,0,0,0,0,0,0
2,5,20,4,13,397,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,3,6,16,388,0,0,1,0,0,0,0,0,0,0,0,1,0
1,12,52,3,17,400,0,1,0,0,0,1,0,0,0,0,0,1,1
1,7,27,4,9,300,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,5,1,7,155,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,32,5,0,486,0,0,0,0,1,1,0,0,0,0,1,0,1
1,8,33,3,17,142,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,6,10,224,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3,12,6,19,72,0,0,1,0,0,1,0,0,0,0,0,1,1
1,5,21,0,16,90,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,2,16,109,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,27,0,15,446,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,11,3,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,21,6,13,452,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,22,5,23,449,0,0,0,0,0,1,0,0,0,0,0,0,0
1,9,38,0,7,293,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,24,3,13,466,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,12,1,16,194,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,36,6,13,196,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6,24,4,14,186,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,43,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,6,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,4,23,301,0,1,0,0,0,1,0,0,0,0,0,1,0
1,12,51,1,12,359,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,8,4,19,234,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3,10,1,6,391,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,14,3,12,115,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,7,2,8,214,0,0,1,0,0,0,0,0,0,0,0,1,1
1,8,34,2,11,235,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,9,4,13,336,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,5,19,205,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2,7,0,9,276,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,7,5,16,405,0,0,1,0,0,0,0,0,0,0,0,1,1
1,10,40,1,8,477,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,31,0,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,7,2,12,148,0,0,1,0,0,0,0,0,0,0,0,1,1
2,3,12,4,16,72,0,1,0,0,0,0,0,0,0,0,0,1,0
1,9,35,4,15,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,40,1,17,109,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,6,1,266,0,0,0,0,0,1,0,0,0,0,0,0,1
1,11,48,0,9,119,0,1,0,0,0,0,0,0,0,0,0,1,0
2,8,34,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,29,5,16,128,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,33,1,19,128,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,12,2,5,94,0,0,0,0,0,1,0,0,0,0,0,0,1
1,6,24,3,18,489,0,0,1,0,0,0,0,0,0,0,0,1,1
1,5,20,6,15,287,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,37,3,9,488,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,22,6,20,82,0,1,0,0,0,0,0,0,0,0,0,0,0
2,6,25,2,19,437,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,4,13,338,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,18,0,12,237,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,18,3,18,426,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,3,22,139,0,0,0,0,0,1,0,0,0,0,0,0,0
1,7,30,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,41,6,13,128,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,15,2,9,309,0,0,1,0,0,0,0,0,0,0,0,0,1
2,5,19,4,19,320,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,34,6,14,128,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,29,1,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12,52,3,12,310,0,1,0,0,0,0,0,0,0,0,0,1,1
2,7,30,0,10,175,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,2,8,325,0,1,0,0,0,0,0,0,0,0,0,1,1
1,5,19,0,17,307,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,24,0,0,0,0,1,0,0,0,1,0,1,0,0
1,3,12,3,16,486,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,25,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,4,7,382,0,0,1,0,0,1,0,0,0,0,0,1,0
1,7,29,2,17,479,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,5,12,288,0,0,1,0,0,0,0,0,0,0,0,1,0
1,9,37,6,17,427,0,0,1,0,0,0,0,0,0,0,0,1,0
1,5,20,5,21,388,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,2,2,86,0,0,1,0,0,1,0,0,0,0,0,1,0
1,2,8,2,21,288,0,0,0,1,0,1,0,0,0,1,0,0,0
1,12,48,6,10,293,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,16,4,18,240,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,40,2,9,142,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,24,3,22,487,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,5,4,7,223,0,0,1,0,0,0,1,0,0,0,0,1,0
1,4,14,5,2,148,0,1,0,0,0,1,0,0,0,0,0,0,0
1,10,41,1,17,405,0,1,0,0,0,0,0,0,0,0,0,1,1
1,4,16,1,14,18,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,13,3,17,174,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,20,1,19,239,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6,24,3,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,24,3,19,314,0,0,1,0,0,0,0,0,0,0,0,1,0
1,12,52,2,23,289,0,1,0,0,0,1,0,0,0,0,0,1,1
1,3,9,2,8,345,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,34,5,16,226,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,39,3,16,288,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,30,3,22,52,0,0,0,0,0,1,0,0,0,0,0,0,0
1,8,35,3,12,481,0,0,0,0,0,0,0,0,0,0,0,0,0
