SEVERITYCODE,X,Y,WEATHER,LIGHTCOND,ROADCOND,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,ADDRTYPE,cluster_id
2,-122.4001884,47.57908544,Clear,Daylight,Dry,2020,4,16,3,19,Intersection,481
2,-122.32187720000002,47.60576977,Overcast,Daylight,Dry,2020,4,17,6,15,Intersection,24
1,-122.3695673,47.5716099,Clear,Daylight,Dry,2019,5,19,2,10,Block,138
1,-122.346264,47.62489261,Clear,Daylight,Dry,2019,6,26,6,9,Block,153
1,-122.3262281,47.72397334,Overcast,Daylight,Dry,2020,4,17,1,12,Block,30
1,-122.3405249,47.6335923,Clear,Dark - Street Lights On,Dry,2019,7,28,0,22,Block,465
1,-122.32807859999998,47.60416123,Clear,Daylight,Dry,2019,5,19,2,7,Intersection,142
2,-122.3290775,47.57142087,Clear,Daylight,Dry,2020,4,16,0,14,Intersection,216
1,-122.3255099,47.61353316,Overcast,Dusk,Dry,2019,5,18,6,17,Block,300
2,-122.3339943,47.5432018,Clear,Daylight,Dry,2019,5,20,2,16,Intersection,63
1,-122.31416740000002,47.6129174,Overcast,Daylight,Dry,2020,4,17,2,18,Intersection,293
1,-122.34742040000002,47.61508492,Clear,Daylight,Dry,2019,4,17,2,9,Block,307
1,-122.3720883,47.62943789,Clear,Daylight,Dry,2020,4,17,0,9,Block,51
1,-122.270274,47.53695788,Clear,Daylight,Dry,2020,4,17,2,19,Intersection,377
1,-122.3475749,47.65177672,Clear,Daylight,Dry,2019,4,18,0,17,Block,243
2,-122.3875614,47.69897871,Raining,Daylight,Wet,2020,4,17,3,17,Intersection,149
2,-122.3444517,47.61802169,Clear,Dark - Street Lights On,Dry,2019,4,17,4,21,Intersection,253
1,-122.4113063,47.57893271,Clear,Daylight,Dry,2019,7,27,5,12,Block,144
1,-122.3457772,47.61763118,Clear,Daylight,Dry,2019,5,18,6,18,Block,155
1,-122.270433,47.53764263,Clear,Daylight,Dry,2020,4,17,4,13,Intersection,377
1,-122.34347959999998,47.66343938,Clear,Daylight,Dry,2019,4,18,1,17,Block,1
1,-122.3027104,47.61294141,Clear,Dark - Street Lights On,Dry,2020,4,16,5,20,Intersection,309
1,-122.3599506,47.65486188,Clear,Daylight,Dry,2019,4,17,1,16,Block,90
1,-122.3347624,47.52541537,Clear,Daylight,Dry,2019,5,19,1,6,Block,121
2,-122.3024718,47.72838173,Clear,Daylight,Dry,2020,4,17,4,10,Block,196
2,-122.4081055,47.57681808,Clear,Daylight,Dry,2019,7,27,4,9,Block,144
1,-122.3094986,47.61586183,Clear,Dark - Street Lights On,Dry,2020,2,8,1,18,Block,349
1,-122.362941,47.66024877,Overcast,Dusk,Dry,2019,7,27,4,20,Block,360
2,-122.28084640000002,47.5354048,Overcast,Daylight,Dry,2019,7,27,2,16,Intersection,361
1,-122.40288329999998,47.56675001,Clear,Daylight,Dry,2020,4,17,3,12,Intersection,437
2,-122.3124304,47.70852841,Raining,Daylight,Wet,2019,4,16,4,16,Intersection,50
2,-122.290748,47.70208434,Clear,Dark - Street Lights On,Dry,2019,4,17,4,20,Block,235
1,-122.3595857,47.65958298,Clear,Daylight,Dry,2019,4,17,4,14,Block,371
1,-122.2839074,47.71736902,Clear,Daylight,Dry,2020,4,16,4,9,Intersection,214
1,-122.3295143,47.60405521,Clear,Daylight,Dry,2020,4,16,2,12,Block,486
2,-122.3016071,47.66665144,Clear,Daylight,Dry,2019,4,16,3,13,Block,338
2,-122.3149002,47.69217502,Clear,Daylight,Dry,2020,4,17,0,9,Intersection,215
1,-122.3344372,47.66503562,Clear,Daylight,Dry,2020,4,16,3,14,Block,484
1,-122.2968928,47.54421894,Clear,Dark - Street Lights On,Dry,2020,4,16,3,1,Block,409
1,-122.34762109999998,47.61857116,Clear,Dark - Street Lights On,Dry,2019,7,27,4,0,Intersection,155
1,-122.3207998,47.73402776,Clear,Daylight,Dry,2019,5,19,2,7,Intersection,449
1,-122.2861937,47.58931163,Clear,Dark - Street Lights On,Dry,2020,4,16,2,21,Block,301
2,-122.3761867,47.56648697,Clear,Daylight,Dry,2019,7,27,4,20,Intersection,94
1,-122.2994442,47.60166172,Clear,Daylight,Dry,2019,7,27,4,13,Block,460
1,-122.3220923,47.6431904,Overcast,Daylight,Dry,2019,7,27,2,11,Intersection,150
1,-122.3346951,47.53989316,Raining,Daylight,Wet,2019,5,20,1,9,Block,456
1,-122.37638490000002,47.54741352,Clear,Dark - Street Lights On,Dry,2020,4,15,6,0,Block,305
1,-122.3528437,47.52101768,Clear,Dark - Street Lights On,Dry,2019,6,26,6,21,Intersection,25
1,-122.2699596,47.56773822,Clear,Daylight,Dry,2020,4,16,5,19,Block,498
2,-122.2699869,47.53314343,Overcast,Dusk,Dry,2019,4,16,0,19,Block,224
2,-122.3133944,47.58298195,Overcast,Daylight,Dry,2020,4,16,5,13,Intersection,147
1,-122.3167819,47.60169337,Clear,Daylight,Dry,2019,7,27,2,19,Intersection,226
1,-122.3596588,47.63413575,Overcast,Daylight,Wet,2020,4,17,1,15,Block,60
2,-122.344507,47.68766545,Clear,Daylight,Dry,2019,5,18,2,8,Intersection,441
1,-122.3207536,47.60764594,Clear,Daylight,Dry,2020,4,16,4,11,Block,24
1,-122.3063057,47.61003107,Clear,Daylight,Dry,2019,4,18,0,17,Intersection,156
1,-122.3477905,47.73322022,Clear,Daylight,Dry,2020,4,17,4,12,Block,322
1,-122.3120518,47.65903992,Clear,Dark - Street Lights On,Dry,2019,7,27,6,0,Block,358
1,-122.3046123,47.64660623,Raining,Daylight,Wet,2020,4,17,2,13,Block,6
2,-122.3473236,47.69962709,Clear,Dusk,Dry,2020,4,16,4,20,Intersection,146
1,-122.3346068,47.60291078,Overcast,Dark - Street Lights On,Unknown,2019,7,27,3,22,Block,388
1,-122.33355559999998,47.67261944,Clear,Daylight,Unknown,2020,4,16,4,9,Block,85
2,-122.2875459,47.56175885,Clear,Dark - Street Lights On,Dry,2020,4,16,6,3,Block,29
2,-122.3174034,47.67874129,Clear,Daylight,Dry,2019,7,27,5,21,Intersection,169
2,-122.2961423,47.6176226,Clear,Daylight,Dry,2020,4,15,4,16,Intersection,432
1,-122.3417045,47.6244977,Clear,Daylight,Dry,2019,5,19,4,16,Block,43
1,-122.3609325,47.73277353,Clear,Daylight,Dry,2020,4,17,0,9,Block,33
1,-122.3301373,47.60724758,Clear,Dark - Street Lights On,Dry,2020,4,14,2,20,Block,486
2,-122.3355865,47.60398224,Clear,Daylight,Dry,2019,7,27,1,7,Intersection,388
1,-122.3415138,47.53992355,Clear,Daylight,Dry,2020,4,16,4,7,Intersection,282
1,-122.3065119,47.66396513,Raining,Daylight,Wet,2019,4,17,0,15,Block,260
1,-122.2801723,47.70890461,Clear,Daylight,Dry,2020,4,17,0,16,Intersection,190
2,-122.28484109999998,47.52138488,Clear,Daylight,Dry,2020,4,17,0,18,Intersection,422
1,-122.2859975,47.61339335,Other,Unknown,Unknown,2020,4,17,2,0,Block,92
2,-122.3386774,47.55659137,Clear,Daylight,Wet,2018,1,4,0,8,Block,48
2,-122.2864886,47.5601082,Clear,Daylight,Dry,2017,4,14,0,11,Block,325
1,-122.3230872,47.60625024,Clear,Dark - Street Lights On,Dry,2017,8,31,6,3,Block,24
2,-122.3114744,47.61290843,Overcast,Daylight,Dry,2018,7,31,0,9,Intersection,349
1,-122.2861491,47.55626482,Other,Dark - Street Lights On,Unknown,2017,3,11,4,23,Block,325
1,-122.3324513,47.60726631,Overcast,Daylight,Wet,2017,10,42,1,12,Intersection,486
1,-122.3400927,47.60554492,Clear,Daylight,Dry,2017,9,38,3,9,Block,490
2,-122.2961881,47.57834715,Clear,Daylight,Dry,2017,7,30,6,18,Intersection,427
1,-122.3342392,47.54813969,Raining,Daylight,Wet,2018,6,26,0,11,Block,63
2,-122.3231111,47.59583224,Clear,Daylight,Dry,2018,7,28,3,15,Block,288
1,-122.3762222,47.66121143,Clear,Daylight,Dry,2017,8,35,1,17,Block,295
2,-122.30161409999998,47.70437186,Clear,Daylight,Dry,2018,5,22,2,13,Block,110
1,-122.32637379999998,47.59583727,Clear,Daylight,Dry,2017,6,26,3,12,Intersection,46
1,-122.3757024,47.65393223,Overcast,Daylight,Dry,2017,5,19,4,16,Intersection,292
2,-122.3497555,47.64651291,Raining,Daylight,Wet,2017,10,42,4,10,Block,80
1,-122.3342033,47.57498194,Clear,Daylight,Dry,2017,6,25,0,6,Block,487
1,-122.33223,47.59920184,Clear,Dark - Street Lights On,Dry,2018,5,18,5,22,Block,212
2,-122.3331044,47.68690246,Clear,Daylight,Dry,2017,6,22,5,19,Intersection,105
1,-122.3596406,47.54471615,Clear,Dark - Street Lights Off,Dry,2017,10,40,6,20,Block,458
1,-122.3290775,47.57142087,Clear,Daylight,Dry,2017,7,29,2,11,Intersection,216
1,-122.3055407,47.58550389,Clear,Daylight,Dry,2018,6,26,2,16,Intersection,428
1,-122.2882922,47.55160251,Raining,Dark - Street Lights On,Wet,2018,1,4,1,23,Block,203
1,-122.3283173,47.59919591,Clear,Dark - Street Lights On,Dry,2018,3,9,3,21,Block,142
2,-122.30734440000002,47.73389063,Clear,Daylight,Dry,2017,6,25,4,10,Intersection,477
1,-122.3289908,47.54549572,Clear,Daylight,Dry,2017,12,52,2,7,Block,336
1,-122.330689,47.60701684,Overcast,Daylight,Wet,2018,2,7,2,12,Intersection,486
1,-122.3134191,47.56055995,Clear,Daylight,Dry,2017,6,24,0,7,Intersection,125
2,-122.3141596,47.66943836,Clear,Dark - Street Lights On,Dry,2018,5,18,1,20,Intersection,266
1,-122.3350596,47.62461807,Raining,Dark - Street Lights On,Wet,2017,4,16,6,21,Block,111
2,-122.312648,47.71850674,Clear,Daylight,Dry,2018,8,32,0,11,Block,475
2,-122.3513564,47.65148486,Unknown,Daylight,Unknown,2018,6,24,2,13,Intersection,394
2,-122.3494235,47.55569473,Clear,Dark - Street Lights On,Dry,2018,7,28,5,0,Block,310
1,-122.3312782,47.604305,Raining,Daylight,Wet,2017,1,4,2,13,Block,486
1,-122.3245856,47.60956945,Unknown,Unknown,Unknown,2017,4,15,0,17,Block,466
1,-122.337592,47.61120737,Clear,Daylight,Dry,2017,5,21,1,16,Intersection,128
1,-122.323869,47.5931178,Clear,Daylight,Dry,2018,2,9,0,9,Block,476
1,-122.360238,47.66597696,Raining,Daylight,Wet,2017,6,23,3,6,Block,170
1,-122.3334501,47.54664079,Overcast,Daylight,Dry,2017,4,14,6,15,Block,63
2,-122.3382383,47.55576875,Clear,Daylight,Dry,2018,5,22,3,9,Intersection,48
2,-122.3956872,47.67802419,Clear,Daylight,Dry,2017,5,20,6,16,Intersection,264
2,-122.3283588,47.61369803,Clear,Dark - Street Lights On,Dry,2018,4,17,4,21,Block,300
1,-122.3167547,47.62311418,Clear,Daylight,Dry,2018,7,29,0,15,Intersection,14
1,-122.3234835,47.73405298,Overcast,Dark - Street Lights On,Dry,2018,1,4,6,20,Intersection,449
2,-122.3761675,47.64244869,Clear,Daylight,Dry,2018,8,31,4,11,Intersection,187
1,-122.3200809,47.60521427,Clear,Daylight,Dry,2018,5,20,2,13,Block,24
1,-122.32021090000002,47.62958005,Unknown,Unknown,Unknown,2017,6,23,0,15,Block,120
1,-122.32703159999998,47.59583676,Clear,Daylight,Dry,2018,7,28,3,14,Block,46
2,-122.3735909,47.66643106,Clear,Daylight,Dry,2017,5,19,2,15,Intersection,444
1,-122.3460854,47.66249653,Raining,Dark - Street Lights On,Wet,2018,2,6,0,18,Block,420
1,-122.3321562,47.6094069,Overcast,Dark - Street Lights On,Dry,2018,2,6,1,22,Block,52
2,-122.2823449,47.53704402,Clear,Daylight,Dry,2017,3,11,3,16,Block,131
1,-122.2627774,47.52011701,Clear,Daylight,Dry,2018,7,28,4,9,Intersection,284
1,-122.3135196,47.60168756,Clear,Dusk,Dry,2017,10,41,2,17,Block,496
1,-122.3137311,47.57162762,Overcast,Dark - Street Lights On,Wet,2017,10,43,2,19,Block,57
1,-122.3025726,47.58365748,Clear,Dark - Street Lights On,Dry,2018,1,5,1,23,Block,280
1,-122.3439816,47.62260732,Clear,Daylight,Dry,2017,9,39,0,9,Block,43
1,-122.285452,47.54605841,Clear,Daylight,Dry,2018,6,26,2,10,Intersection,192
1,-122.3610966,47.67599488,Clear,Dark - Street Lights On,Dry,2018,7,30,5,0,Block,302
1,-122.3137639,47.56986598,Raining,Daylight,Wet,2018,2,9,2,15,Intersection,57
1,-122.3440137,47.70505031,Clear,Daylight,Dry,2017,7,27,4,9,Block,7
2,-122.3208462,47.65751923,Clear,Daylight,Dry,2017,5,20,3,6,Intersection,240
1,-122.3466783,47.66500045,Clear,Daylight,Dry,2017,12,52,3,8,Block,420
1,-122.302769,47.73383869,Raining,Dark - Street Lights On,Dry,2017,9,38,1,21,Block,196
2,-122.375403,47.52106403,Clear,Daylight,Dry,2018,5,20,4,13,Intersection,397
2,-122.3368649,47.60203256,Raining,Daylight,Wet,2018,1,3,6,16,Block,388
1,-122.3040975,47.64396127,Overcast,Dark - Street Lights On,Wet,2017,12,52,3,17,Intersection,400
1,-122.3289131,47.61346582,Clear,Daylight,Dry,2018,7,27,4,9,Intersection,300
2,-122.347616,47.61915389,Clear,Daylight,Dry,2017,1,5,1,7,Block,155
2,-122.3324513,47.60726631,Unknown,Dark - Street Lights On,Unknown,2018,8,32,5,0,Intersection,486
1,-122.3279803,47.60321632,Clear,Daylight,Dry,2017,8,33,3,17,Block,142
1,-122.2699891,47.53210531,Overcast,Daylight,Dry,2018,1,3,6,10,Block,224
1,-122.345037,47.72867768,Raining,Dark - Street Lights On,Wet,2017,3,12,6,19,Intersection,72
1,-122.3595792,47.65365014,Clear,Daylight,Dry,2018,5,21,0,16,Block,90
1,-122.3906933,47.52094077,Clear,Daylight,Dry,2017,7,27,2,16,Block,109
1,-122.2770802,47.63990076,Clear,Daylight,Dry,2018,7,27,0,15,Block,446
1,-122.2737124,47.54713469,Clear,Daylight,Dry,2017,3,11,3,17,Block,44
1,-122.3141523,47.60804798,Clear,Daylight,Dry,2017,5,21,6,13,Intersection,452
1,-122.3234945,47.73349942,Clear,Dark - Street Lights On,Dry,2017,6,22,5,23,Block,449
1,-122.3175068,47.61525916,Raining,Daylight,Wet,2017,9,38,0,7,Block,293
1,-122.3283384,47.60947816,Clear,Daylight,Dry,2018,6,24,3,13,Block,466
2,-122.3527631,47.70507555,Clear,Daylight,Dry,2017,3,12,1,16,Intersection,194
1,-122.2992291,47.73380754,Clear,Daylight,Dry,2017,9,36,6,13,Intersection,196
2,-122.3767611,47.67682047,Clear,Daylight,Dry,2017,6,24,4,14,Block,186
1,-122.3447064,47.7057972,Clear,Daylight,Dry,2017,10,43,0,9,Block,7
2,-122.3066088,47.57603394,Clear,Daylight,Dry,2018,1,4,6,14,Block,41
2,-122.2866875,47.59046653,Overcast,Dark - Street Lights On,Wet,2018,1,2,4,23,Block,301
1,-122.3394375,47.56606066,Raining,Daylight,Wet,2017,12,51,1,12,Block,359
1,-122.38867720000002,47.54670258,Clear,Dark - No Street Lights,Dry,2018,2,8,4,19,Intersection,234
1,-122.3604903,47.57238220000001,Clear,Daylight,Dry,2018,3,10,1,6,Block,391
1,-122.2995577,47.59555716,Raining,Daylight,Wet,2018,4,14,3,12,Block,115
1,-122.2839074,47.71736902,Raining,Daylight,Wet,2018,2,7,2,8,Intersection,214
1,-122.2879028,47.69743858,Clear,Daylight,Dry,2017,8,34,2,11,Block,235
2,-122.3304653,47.54438649,Overcast,Daylight,Dry,2017,3,9,4,13,Block,336
1,-122.3391749,47.69415522,Clear,Dark - Street Lights On,Dry,2018,1,2,5,19,Intersection,205
1,-122.3551649,47.51736038,Clear,Daylight,Dry,2018,2,7,0,9,Intersection,276
2,-122.2965188,47.73378577,Raining,Daylight,Wet,2017,2,7,5,16,Intersection,405
1,-122.3073025,47.72933513,Clear,Daylight,Dry,2017,10,40,1,8,Block,477
2,-122.311909,47.56262085,Clear,Daylight,Dry,2017,7,31,0,7,Block,125
2,-122.2892436,47.56794838,Raining,Daylight,Wet,2017,2,7,2,12,Intersection,148
2,-122.345047,47.7295848,Overcast,Daylight,Wet,2018,3,12,4,16,Block,72
1,-122.2908652,47.72435276,Clear,Daylight,Dry,2017,9,35,4,15,Block,67
1,-122.3914266,47.51634057,Clear,Daylight,Dry,2017,10,40,1,17,Block,109
1,-122.3151909,47.66943488,Clear,Dark - Street Lights On,Dry,2018,2,6,6,1,Intersection,266
1,-122.3771678,47.51098488,Overcast,Daylight,Wet,2017,11,48,0,9,Block,119
2,-122.34531979999998,47.66212578,Clear,Daylight,Dry,2017,8,34,1,15,Block,1
2,-122.33529540000002,47.61495252,Clear,Daylight,Dry,2018,7,29,5,16,Intersection,128
1,-122.33796809999998,47.61242345,Clear,Daylight,Dry,2017,8,33,1,19,Block,128
2,-122.38009270000002,47.56225703,Clear,Dark - Street Lights On,Dry,2017,3,12,2,5,Intersection,94
1,-122.3735809,47.67162889,Raining,Daylight,Wet,2017,6,24,3,18,Intersection,489
1,-122.3217635,47.68055437,Clear,Daylight,Dry,2017,5,20,6,15,Block,287
1,-122.32939,47.68686223,Clear,Daylight,Dry,2017,9,37,3,9,Intersection,488
1,-122.3756924,47.54831958,Overcast,Daylight,Dry,2018,6,22,6,20,Block,82
2,-122.3987971,47.56943276,Clear,Daylight,Dry,2017,6,25,2,19,Block,437
2,-122.3006269,47.66998761,Clear,Daylight,Dry,2018,1,4,4,13,Intersection,338
