SEVERITYCODE,X,Y,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
1,-122.270274,47.53695788,2020,4,17,2,19,377,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.34757490000001,47.65177672,2019,4,18,0,17,243,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.38756140000001,47.69897871,2020,4,17,3,17,149,0,0,1,0,0,0,0,0,0,0,0,1,1
2,-122.3444517,47.61802169,2019,4,17,4,21,253,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.4113063,47.57893271,2019,7,27,5,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.34577720000001,47.61763118,2019,5,18,6,18,155,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.27043300000001,47.53764263,2020,4,17,4,13,377,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.34347959999998,47.66343938,2019,4,18,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.30271040000001,47.61294141,2020,4,16,5,20,309,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.3599506,47.65486188,2019,4,17,1,16,90,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3347624,47.52541537,2019,5,19,1,6,121,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.30247179999999,47.72838173,2020,4,17,4,10,196,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.40810549999999,47.57681808,2019,7,27,4,9,144,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3094986,47.61586183,2020,2,8,1,18,349,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.36294099999999,47.66024877,2019,7,27,4,20,360,0,1,0,0,0,0,0,1,0,0,0,0,0
2,-122.28084640000002,47.535404799999995,2019,7,27,2,16,361,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.40288329999998,47.56675001,2020,4,17,3,12,437,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3124304,47.70852841,2019,4,16,4,16,50,0,0,1,0,0,0,0,0,0,0,0,1,1
2,-122.290748,47.70208434,2019,4,17,4,20,235,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.35958570000001,47.65958298,2019,4,17,4,14,371,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.2839074,47.71736902,2020,4,16,4,9,214,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.32951429999999,47.60405521,2020,4,16,2,12,486,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3016071,47.66665144,2019,4,16,3,13,338,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.31490020000001,47.69217502,2020,4,17,0,9,215,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3344372,47.66503562,2020,4,16,3,14,484,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.29689280000001,47.54421894,2020,4,16,3,1,409,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.34762109999998,47.61857116,2019,7,27,4,0,155,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.32079979999999,47.73402776,2019,5,19,2,7,449,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.2861937,47.58931163,2020,4,16,2,21,301,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3761867,47.56648697,2019,7,27,4,20,94,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.29944420000001,47.60166172,2019,7,27,4,13,460,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3220923,47.643190399999995,2019,7,27,2,11,150,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.33469509999999,47.53989316,2019,5,20,1,9,456,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.37638490000002,47.54741352,2020,4,15,6,0,305,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3528437,47.52101768,2019,6,26,6,21,25,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-122.26995959999999,47.56773822,2020,4,16,5,19,498,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.26998689999999,47.53314343,2019,4,16,0,19,224,0,1,0,0,0,0,0,1,0,0,0,0,0
2,-122.3133944,47.58298195,2020,4,16,5,13,147,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.31678190000001,47.60169337,2019,7,27,2,19,226,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3596588,47.63413575,2020,4,17,1,15,60,0,1,0,0,0,0,0,0,0,0,0,1,0
2,-122.34450700000001,47.68766545,2019,5,18,2,8,441,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.32075359999999,47.60764594,2020,4,16,4,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.30630570000001,47.61003107,2019,4,18,0,17,156,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3477905,47.73322022,2020,4,17,4,12,322,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.31205179999999,47.65903992,2019,7,27,6,0,358,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.30461229999999,47.64660623,2020,4,17,2,13,6,0,0,1,0,0,0,0,0,0,0,0,1,0
2,-122.34732360000001,47.69962709,2020,4,16,4,20,146,0,0,0,0,0,0,0,1,0,0,0,0,1
1,-122.3346068,47.60291078,2019,7,27,3,22,388,0,1,0,0,0,1,0,0,0,0,1,0,0
1,-122.33355559999998,47.67261944,2020,4,16,4,9,85,0,0,0,0,0,0,0,0,0,0,1,0,0
2,-122.2875459,47.56175885,2020,4,16,6,3,29,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3174034,47.67874129,2019,7,27,5,21,169,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.2961423,47.617622600000004,2020,4,15,4,16,432,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.34170449999999,47.6244977,2019,5,19,4,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.36093249999999,47.73277353,2020,4,17,0,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.33013729999999,47.60724758,2020,4,14,2,20,486,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3355865,47.60398224,2019,7,27,1,7,388,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3415138,47.53992355,2020,4,16,4,7,282,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.30651189999999,47.66396513,2019,4,17,0,15,260,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.2801723,47.70890461,2020,4,17,0,16,190,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.28484109999998,47.52138488,2020,4,17,0,18,422,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.28599750000001,47.61339335,2020,4,17,2,0,92,1,0,0,0,0,0,0,0,1,0,1,0,0
2,-122.3386774,47.55659137,2018,1,4,0,8,48,0,0,0,0,0,0,0,0,0,0,0,1,0
2,-122.2864886,47.5601082,2017,4,14,0,11,325,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.3230872,47.60625024,2017,8,31,6,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-122.3114744,47.61290843,2018,7,31,0,9,349,0,1,0,0,0,0,0,0,0,0,0,0,1
1,-122.28614909999999,47.55626482,2017,3,11,4,23,325,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-122.3324513,47.60726631,2017,10,42,1,12,486,0,1,0,0,0,0,0,0,0,0,0,1,1
1,-122.34009270000001,47.60554492,2017,9,38,3,9,490,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.29618810000001,47.57834715,2017,7,30,6,18,427,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3342392,47.54813969,2018,6,26,0,11,63,0,0,1,0,0,0,0,0,0,0,0,1,0
